课程编号,学院,课程名称,班级,学分,学时,主讲教师,教室1,星期几1,节次1,周次1,教室2,星期几2,节次2,周次2,教室3,星期几3,节次3,周次3,教室4,星期几4,节次4,周次4,教室5,星期几5,节次5,周次5,教室6,星期几6,节次6,周次6,教室7,星期几7,节次7,周次7,教室8,星期几8,节次8,周次8,教室9,星期几9,节次9,周次9,教室10,星期几10,节次10,周次10,教室11,星期几11,节次11,周次11,教室12,星期几12,节次12,周次12,教室13,星期几13,节次13,周次13
011001,机械工程学院,实用科技英文写作,1班,2.0,32,唐一平,创新港校区-5-1007,2,7-8,9-16,创新港校区-5-1007,4,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012006,机械工程学院,设计心理学,1班,2.0,40,张煜,创新港校区-2-2002,4,3-6,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012007,机械工程学院,符号学设计方法研究,1班,2.0,32,杨增耀,创新港校区-2-4005,1,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012010,机械工程学院,概念设计研究（校企）,1班,2.0,32,朱爱斌,创新港校区-2-4006,2,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012016,机械工程学院,流体润滑理论,1班,2.0,40,张辉,创新港校区-2-5006,4,2-4,1-12,创新港校区-2-5006,4,3-6,13-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012019,机械工程学院,复杂机电系统的人工智能控制技术（AI进阶）,1班,2.0,32,李靖祥,创新港校区-5-2W201,6,2-4,1-10,创新港校区-5-2W201,6,2-3,11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012023,机械工程学院,电动汽车技术,1班,2.0,40,曹军义,创新港校区-2-5006,4,7-10,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012025,机械工程学院,面向制造工程的智能计算方法,1班,2.0,40,江平宇,创新港校区-2-3006,2,3-4,1-10,创新港校区-2-3006,2,7-8,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012029,机械工程学院,机械系统集散控制,1班,2.0,40,陶涛,创新港校区-2-4004,2,3-6,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012030,机械工程学院,生物制造工程,1班,2.0,32,李涤尘,创新港校区-5-1W107,3,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
